filename, fullpath, group, FirstPer , SelfDisclosure , SelfReluctance , Autobio , PrivateThinking , Disclosure , Intensity , Immediacy , SubjectiveTime , SubjectivePercept , Confidence , Uncertainty , Positivity , Negativity , Anger , Fear , Sad , Reluctance , Apology , SenseProperty , SenseObject , SpaceRelation , SceneShift , Motions , DialogCues , OralCues , In_Media , CommonAuthorities , Responsibility , StandardsPos , Innovations , StandardsNeg , AbstractConcepts , CommunicatorRole , LangRef , Precedent_Defending , ReceivedPOV , ConfirmedThght , Citations , Neg_Citation , Repair_Citation , Speculative_Citation , Authoritative_Citation , Contested_Citation , Attack_Citation , Quotation , Metadiscourse , ProjectAhead , PredictedFuture , ProjectBack , Future_in_Past , Promise , Self_Promise , Reassure , Reinforce , Acknowledge , Inclusive , Negative_Relation , Confront , ReasonForward , ReasonBackward , DirectReasoning , Support , Contingency , DenyDisclaim , Concessive , Resistance , Curiosity , Question , Future_Question , OpenQuery , DirectAddress , Request , FollowUp , Feedback , PosFeedback , NegFeedback , PriorKnowledge , Generalization , Example , Exceptions , Comparison , Resemblances , Specifiers , Definition , Numbers , ReportingStates , ReportingEvents , RecurringEvents , GenericEvents , Sequence , MatureProcess , Cause , Consequence , Transformation , Substitution , Updates , Precedent_Setting , Imperative , Procedures , MoveBody , ConfirmExperience , ErrorRecovery , Insist , Narrative_Verbs , TimeShift , TimeDuration , Biographical_Time , TimeDate , Aside , PersonPronoun , Positive_Attribution , Negative_Attribution , Neutral_Attribution , PersonProperty , <untagged>, <not-word>, <words>, <tokens>
BarkerBosvilGalesia1713p , C:\Users\gleicher\DigHum\Novels\1700-1719\BarkerBosvilGalesia1713p.txt , 1700-1719 , 3.477, 1.038, 0.006, 0.610, 0.730, 0.115, 0.942, 0.459, 0.254, 1.612, 0.429, 0.586, 1.944, 1.787, 0.247, 0.091, 0.229, 0.012, 0.000, 0.851, 1.817, 1.262, 0.320, 0.592, 0.012, 0.072, 0.000, 0.875, 0.048, 2.137, 0.024, 0.579, 2.264, 0.012, 0.537, 0.006, 0.048, 0.006, 0.429, 0.006, 0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.254, 0.688, 0.157, 1.370, 0.018, 0.012, 0.000, 0.036, 0.000, 0.012, 0.543, 0.392, 0.006, 0.616, 0.024, 0.006, 0.018, 0.948, 0.966, 0.012, 1.503, 0.241, 0.205, 0.012, 0.024, 1.020, 0.048, 0.000, 0.000, 0.018, 0.000, 0.006, 0.423, 0.024, 0.103, 0.501, 0.145, 1.340, 0.000, 0.229, 0.640, 2.131, 0.320, 0.501, 0.525, 0.000, 0.091, 0.018, 0.229, 0.054, 0.181, 0.000, 0.042, 0.000, 0.000, 0.000, 0.000, 0.320, 0.169, 0.169, 0.435, 0.211, 0.006, 0.302, 2.082, 0.012, 0.000, 0.085, 1.666, 27.567, 5.113, 13674, 16567
BarkerExilius1715p , C:\Users\gleicher\DigHum\Novels\1700-1719\BarkerExilius1715p.txt , 1700-1719 , 2.459, 0.739, 0.012, 0.433, 0.520, 0.144, 1.132, 0.432, 0.185, 1.308, 0.358, 0.455, 1.913, 1.469, 0.194, 0.132, 0.214, 0.030, 0.005, 0.713, 1.906, 1.205, 0.394, 0.438, 0.011, 0.076, 0.000, 1.327, 0.074, 2.758, 0.023, 0.815, 2.105, 0.030, 0.390, 0.000, 0.030, 0.001, 0.415, 0.002, 0.011, 0.000, 0.000, 0.002, 0.000, 0.000, 0.306, 0.735, 0.137, 1.582, 0.018, 0.015, 0.005, 0.030, 0.001, 0.035, 0.553, 0.289, 0.008, 0.619, 0.058, 0.007, 0.019, 0.901, 0.831, 0.036, 1.308, 0.215, 0.188, 0.017, 0.017, 0.977, 0.031, 0.001, 0.000, 0.015, 0.001, 0.012, 0.318, 0.012, 0.092, 0.616, 0.091, 1.336, 0.002, 0.219, 0.809, 2.274, 0.215, 0.394, 0.559, 0.002, 0.121, 0.034, 0.299, 0.033, 0.174, 0.001, 0.030, 0.001, 0.001, 0.004, 0.000, 0.315, 0.209, 0.172, 0.420, 0.217, 0.000, 0.323, 2.971, 0.010, 0.005, 0.108, 1.980, 27.503, 5.093, 69028, 82665
DefoeFartherAdventuresRobinson1719p , C:\Users\gleicher\DigHum\Novels\1700-1719\DefoeFartherAdventuresRobinson1719p.txt , 1700-1719 , 1.427, 0.563, 0.006, 0.433, 0.400, 0.069, 1.376, 0.368, 0.162, 1.004, 0.322, 0.611, 0.742, 1.294, 0.097, 0.117, 0.067, 0.011, 0.000, 0.733, 3.053, 1.675, 0.624, 0.593, 0.032, 0.088, 0.001, 0.609, 0.077, 1.205, 0.032, 0.379, 1.892, 0.006, 0.373, 0.001, 0.032, 0.014, 0.533, 0.000, 0.005, 0.000, 0.003, 0.002, 0.000, 0.000, 0.207, 0.520, 0.129, 2.624, 0.019, 0.017, 0.003, 0.032, 0.000, 0.028, 0.830, 0.160, 0.003, 0.485, 0.062, 0.004, 0.016, 1.222, 1.078, 0.018, 1.267, 0.203, 0.301, 0.043, 0.026, 0.500, 0.029, 0.000, 0.000, 0.026, 0.001, 0.008, 0.366, 0.012, 0.117, 0.603, 0.121, 1.530, 0.000, 0.803, 0.692, 2.722, 0.237, 0.311, 0.811, 0.010, 0.053, 0.019, 0.241, 0.019, 0.221, 0.005, 0.028, 0.003, 0.002, 0.001, 0.000, 0.343, 0.390, 0.239, 0.639, 0.297, 0.017, 0.250, 1.821, 0.002, 0.002, 0.145, 2.151, 28.351, 2.512, 109333, 129248
DefoeRobinsonCrusoe1719p , C:\Users\gleicher\DigHum\Novels\1700-1719\DefoeRobinsonCrusoe1719p.txt , 1700-1719 , 3.338, 1.036, 0.016, 1.043, 0.456, 0.052, 1.444, 0.502, 0.223, 1.015, 0.293, 0.653, 0.799, 1.208, 0.057, 0.189, 0.081, 0.013, 0.000, 1.002, 4.469, 1.865, 0.541, 0.804, 0.016, 0.067, 0.000, 0.466, 0.059, 1.024, 0.023, 0.320, 1.807, 0.004, 0.235, 0.000, 0.026, 0.006, 0.321, 0.000, 0.001, 0.000, 0.003, 0.003, 0.000, 0.000, 0.187, 0.621, 0.069, 2.295, 0.017, 0.059, 0.000, 0.032, 0.000, 0.047, 0.390, 0.155, 0.003, 0.463, 0.041, 0.004, 0.018, 1.289, 0.989, 0.045, 1.188, 0.231, 0.251, 0.023, 0.035, 0.229, 0.016, 0.001, 0.000, 0.027, 0.002, 0.018, 0.344, 0.014, 0.096, 0.672, 0.146, 1.391, 0.000, 0.772, 0.522, 3.455, 0.366, 0.305, 0.989, 0.007, 0.077, 0.028, 0.314, 0.016, 0.203, 0.002, 0.039, 0.007, 0.000, 0.000, 0.000, 0.333, 0.432, 0.291, 0.731, 0.196, 0.033, 0.341, 0.996, 0.000, 0.001, 0.110, 0.837, 26.764, 0.947, 122965, 141117
ManleyAdventuresRivella1714p , C:\Users\gleicher\DigHum\Novels\1700-1719\ManleyAdventuresRivella1714p.txt , 1700-1719 , 0.636, 0.264, 0.000, 0.194, 0.385, 0.161, 1.235, 0.258, 0.264, 1.627, 0.432, 0.378, 1.543, 1.396, 0.131, 0.090, 0.074, 0.044, 0.003, 0.820, 1.667, 1.235, 0.398, 0.425, 0.013, 0.050, 0.003, 1.168, 0.090, 2.193, 0.050, 0.726, 2.327, 0.050, 0.412, 0.000, 0.037, 0.007, 0.308, 0.000, 0.003, 0.000, 0.003, 0.000, 0.000, 0.000, 0.191, 0.559, 0.057, 3.053, 0.023, 0.030, 0.003, 0.077, 0.000, 0.020, 0.211, 0.318, 0.003, 0.368, 0.114, 0.007, 0.003, 1.175, 1.041, 0.000, 1.061, 0.208, 0.328, 0.030, 0.023, 0.362, 0.037, 0.000, 0.000, 0.037, 0.003, 0.027, 0.238, 0.010, 0.110, 0.686, 0.057, 1.604, 0.003, 0.576, 0.606, 2.531, 0.295, 0.582, 0.633, 0.007, 0.114, 0.054, 0.281, 0.044, 0.321, 0.003, 0.044, 0.000, 0.007, 0.003, 0.000, 0.311, 0.479, 0.318, 0.586, 0.509, 0.003, 0.331, 4.446, 0.007, 0.000, 0.204, 2.511, 24.692, 5.493, 25431, 29872
ManleyMemoirsofEurope1710p , C:\Users\gleicher\DigHum\Novels\1700-1719\ManleyMemoirsofEurope1710p.txt , 1700-1719 , 0.942, 0.262, 0.003, 0.174, 0.428, 0.131, 1.175, 0.285, 0.266, 1.686, 0.403, 0.432, 2.096, 1.568, 0.274, 0.102, 0.203, 0.066, 0.003, 0.821, 1.754, 1.302, 0.331, 0.405, 0.014, 0.066, 0.000, 1.494, 0.074, 2.611, 0.045, 0.861, 2.239, 0.021, 0.361, 0.001, 0.028, 0.004, 0.192, 0.001, 0.004, 0.000, 0.008, 0.001, 0.000, 0.000, 0.161, 0.688, 0.098, 2.228, 0.017, 0.010, 0.003, 0.030, 0.000, 0.021, 0.252, 0.300, 0.003, 0.469, 0.127, 0.003, 0.009, 0.840, 1.253, 0.018, 1.295, 0.192, 0.451, 0.013, 0.026, 0.688, 0.023, 0.002, 0.000, 0.010, 0.001, 0.013, 0.303, 0.010, 0.132, 0.786, 0.082, 1.367, 0.001, 0.251, 0.913, 2.138, 0.236, 0.445, 0.511, 0.001, 0.119, 0.034, 0.264, 0.026, 0.329, 0.004, 0.034, 0.002, 0.002, 0.000, 0.000, 0.206, 0.245, 0.234, 0.435, 0.281, 0.002, 0.217, 3.838, 0.021, 0.001, 0.160, 2.128, 27.841, 5.810, 74872, 90614
ManleyNewAtalantis1709p , C:\Users\gleicher\DigHum\Novels\1700-1719\ManleyNewAtalantis1709p.txt , 1700-1719 , 0.657, 0.256, 0.002, 0.104, 0.475, 0.131, 1.231, 0.296, 0.259, 1.679, 0.366, 0.422, 2.247, 1.644, 0.165, 0.179, 0.288, 0.023, 0.000, 1.016, 2.061, 1.294, 0.367, 0.625, 0.017, 0.119, 0.001, 0.986, 0.074, 2.332, 0.028, 0.723, 2.113, 0.021, 0.359, 0.002, 0.028, 0.000, 0.184, 0.000, 0.007, 0.000, 0.001, 0.002, 0.000, 0.000, 0.179, 0.701, 0.138, 2.135, 0.010, 0.008, 0.001, 0.044, 0.000, 0.008, 0.228, 0.286, 0.008, 0.399, 0.091, 0.004, 0.006, 0.980, 1.278, 0.007, 1.299, 0.174, 0.423, 0.041, 0.028, 0.739, 0.030, 0.000, 0.000, 0.006, 0.002, 0.016, 0.360, 0.017, 0.111, 0.694, 0.096, 1.294, 0.000, 0.283, 0.966, 2.176, 0.235, 0.357, 0.533, 0.005, 0.070, 0.024, 0.252, 0.019, 0.317, 0.004, 0.048, 0.005, 0.001, 0.006, 0.000, 0.282, 0.260, 0.267, 0.474, 0.313, 0.002, 0.141, 4.443, 0.016, 0.007, 0.277, 2.193, 27.193, 4.920, 67927, 82542
ManleyQueenZara1705p , C:\Users\gleicher\DigHum\Novels\1700-1719\ManleyQueenZara1705p.txt , 1700-1719 , 0.491, 0.223, 0.000, 0.077, 0.671, 0.151, 1.348, 0.441, 0.284, 1.666, 0.483, 0.624, 1.722, 1.465, 0.234, 0.111, 0.085, 0.034, 0.003, 0.626, 1.414, 0.886, 0.265, 0.316, 0.005, 0.050, 0.000, 1.091, 0.090, 2.518, 0.040, 0.640, 2.444, 0.101, 0.393, 0.003, 0.032, 0.011, 0.395, 0.000, 0.016, 0.000, 0.000, 0.003, 0.000, 0.000, 0.273, 0.857, 0.117, 2.322, 0.011, 0.024, 0.003, 0.021, 0.000, 0.027, 0.263, 0.284, 0.008, 0.626, 0.106, 0.005, 0.008, 1.038, 1.016, 0.053, 1.383, 0.178, 0.366, 0.005, 0.027, 0.711, 0.037, 0.003, 0.000, 0.008, 0.000, 0.019, 0.488, 0.013, 0.122, 0.878, 0.119, 1.364, 0.000, 0.271, 1.107, 2.433, 0.194, 0.531, 0.592, 0.000, 0.154, 0.058, 0.252, 0.024, 0.244, 0.008, 0.021, 0.000, 0.003, 0.008, 0.000, 0.321, 0.202, 0.268, 0.475, 0.210, 0.003, 0.329, 3.590, 0.005, 0.005, 0.188, 1.887, 25.817, 5.700, 32230, 37684
AubinCharlottaduPont1723p , C:\Users\gleicher\DigHum\Novels\1720-1739\AubinCharlottaduPont1723p.txt , 1720-1739 , 1.731, 0.550, 0.010, 0.413, 0.341, 0.146, 1.080, 0.428, 0.291, 1.067, 0.245, 0.528, 1.700, 1.705, 0.163, 0.235, 0.222, 0.014, 0.004, 0.864, 2.990, 1.717, 0.969, 0.600, 0.005, 0.060, 0.001, 0.565, 0.086, 1.778, 0.047, 0.491, 1.522, 0.004, 0.233, 0.001, 0.019, 0.003, 0.332, 0.000, 0.015, 0.000, 0.001, 0.003, 0.000, 0.000, 0.156, 0.951, 0.137, 2.480, 0.003, 0.135, 0.000, 0.045, 0.000, 0.033, 0.399, 0.190, 0.008, 0.409, 0.042, 0.008, 0.018, 0.799, 0.686, 0.035, 1.085, 0.228, 0.176, 0.014, 0.059, 0.849, 0.045, 0.003, 0.000, 0.006, 0.000, 0.014, 0.269, 0.001, 0.060, 0.356, 0.074, 1.039, 0.000, 0.336, 0.837, 3.532, 0.256, 0.251, 0.574, 0.004, 0.077, 0.027, 0.300, 0.015, 0.264, 0.000, 0.038, 0.001, 0.000, 0.001, 0.000, 0.271, 0.692, 0.232, 0.739, 0.408, 0.003, 0.246, 3.694, 0.008, 0.008, 0.386, 2.659, 25.953, 2.085, 67417, 77992
AubinCountAlbertus1728p , C:\Users\gleicher\DigHum\Novels\1720-1739\AubinCountAlbertus1728p.txt , 1720-1739 , 1.511, 0.401, 0.019, 0.271, 0.417, 0.170, 1.224, 0.396, 0.283, 0.967, 0.276, 0.497, 2.079, 1.676, 0.198, 0.196, 0.295, 0.026, 0.002, 0.884, 2.883, 1.697, 0.875, 0.637, 0.007, 0.087, 0.002, 0.813, 0.061, 1.938, 0.042, 0.554, 1.893, 0.005, 0.172, 0.000, 0.026, 0.002, 0.281, 0.000, 0.002, 0.002, 0.000, 0.002, 0.000, 0.000, 0.130, 0.969, 0.123, 2.176, 0.007, 0.068, 0.007, 0.028, 0.000, 0.026, 0.457, 0.182, 0.002, 0.665, 0.040, 0.005, 0.000, 0.691, 0.672, 0.108, 1.278, 0.252, 0.146, 0.019, 0.019, 0.634, 0.050, 0.000, 0.000, 0.012, 0.000, 0.026, 0.328, 0.000, 0.094, 0.398, 0.075, 1.151, 0.000, 0.354, 0.698, 3.532, 0.370, 0.255, 0.695, 0.007, 0.064, 0.021, 0.377, 0.014, 0.271, 0.000, 0.007, 0.002, 0.002, 0.000, 0.000, 0.266, 0.707, 0.240, 0.738, 0.413, 0.005, 0.231, 3.848, 0.007, 0.007, 0.431, 2.570, 25.997, 2.004, 36704, 42416
