train_err,test_err,adv_err
0.899640,0.858200,0.884400
0.890140,0.861400,0.885600
0.899380,0.888700,0.897100
0.894360,0.839800,0.875100
0.859080,0.770500,0.828500
0.830380,0.784700,0.837500
0.796180,0.714200,0.815900
0.773720,0.686800,0.797400
0.758400,0.653000,0.790300
0.745520,0.637400,0.785000
0.725960,0.591100,0.801500
0.718800,0.592900,0.763700
0.704680,0.558400,0.784500
0.697740,0.551300,0.780500
0.680380,0.577800,0.781000
0.669780,0.507200,0.766900
0.662760,0.496800,0.790300
0.647200,0.483500,0.770800
0.638640,0.484300,0.761100
0.629460,0.503300,0.805400
0.620920,0.456800,0.779500
0.616820,0.436100,0.774800
0.606240,0.443400,0.762200
0.598380,0.439700,0.766500
0.585180,0.419600,0.778100
0.570840,0.423600,0.775800
0.560080,0.522100,0.832100
0.548760,0.427700,0.779800
0.541320,0.434600,0.760900
0.525600,0.427300,0.762800
0.513240,0.392900,0.799900
0.509420,0.390200,0.811000
0.488920,0.406000,0.794800
0.488220,0.431000,0.776600
0.471800,0.451300,0.825700
0.450520,0.395300,0.797200
0.446480,0.404900,0.805400
0.445340,0.384200,0.799200
0.421380,0.392300,0.794900
0.407520,0.380900,0.817300
0.400660,0.411700,0.810300
0.390600,0.400600,0.805400
0.395140,0.392100,0.802800
0.375380,0.381400,0.811700
0.361940,0.389700,0.810900
0.348900,0.397700,0.805200
0.342700,0.392200,0.804200
0.344400,0.385600,0.824900
0.329160,0.392300,0.798500
0.313920,0.386000,0.819400
