Name,Control,Region,Locale,Admission Rate,SAT Average,% Female,Median Earnings of Graduate,Undergraduate Population,Completion Rate,Average Cost of Attendance,Out-of-State Tuition,Percentage of Undergraduates Aged 25 and Above,% Undergraduate Students Receiving Loans,Year
Alabama A & M University,Public,Southeast,,0.501,846,0.5130111524,31400,4112,0.10661764705882,14965,12156,0.14,0.7903,2011-01-01
University of Alabama at Birmingham,Public,Southeast,,0.7223,1107,0.629243315,40300,10854,0.23117569352708,19547,14256,0.261,0.5355,2011-01-01
Amridge University,Private,Southeast,,,,0.6206896552,38100,360,0,11540,8720,0.8472,0.7415,2011-01-01
University of Alabama in Huntsville,Public,Southeast,,0.6368,1164,0.5136752137,46600,5755,0.13897763578274,19072,19424,0.2553,0.4779,2011-01-01
Alabama State University,Public,Southeast,,0.508,783,0.5541888298,27800,4719,0.08848080133555,15986,14394,0.1347,0.7694,2011-01-01
The University of Alabama,Public,Southeast,,0.4353,1158,0.5674594354,42400,25613,0.37699066447007,21681,21900,0.0829,0.3593,2011-01-01
Central Alabama Community College,Public,Southeast,,,,0.6640079761,27100,2338,,7485,5400,0.3713,0.3053,2011-01-01
Auburn University at Montgomery,Public,Southeast,,0.7894,970,0.6716581446,34800,4403,0.125,15179,21440,0.2666,0.5571,2011-01-01
Auburn University,Public,Southeast,,0.7,1204,0.5131394534,45400,20436,0.35678391959798,21140,23272,0.0429,0.3718,2011-01-01
Birmingham Southern College,Private,Southeast,,0.6418,1166,0.432183908,41900,1305,0.52848101265822,39848,29290,0.0138,0.6252,2011-01-01
Chattahoochee Valley Community College,Public,Southeast,,,,0.660390516,27700,1557,,6110,7350,0.383,0,2011-01-01
Concordia College Alabama,Private,Southeast,,,,0.3359580052,21300,719,0.02575107296137,14622,8090,0.235,0.7055,2011-01-01
South University-Montgomery,Private,Southeast,,0.5533,,0.7718596792,29800,642,0.08333333333333,31718,15910,0.6168,0.8814,2011-01-01
Enterprise State Community College,Public,Southeast,,,,0.444001991,26300,2480,,9304,6664,0.3976,0.2223,2011-01-01
Coastal Alabama Community College,Public,Southeast,,,,0.6727979275,28900,4258,,9182,7290,0.3155,0.314,2011-01-01
Faulkner University,Private,Southeast,,0.5802,953,0.645438121,37600,2689,0.1345029239766,25198,15880,0.4908,0.9818,2011-01-01
Gadsden State Community College,Public,Southeast,,,,0.6353413655,26900,6459,,10452,6990,0.3953,0,2011-01-01
George C Wallace Community College-Dothan,Public,Southeast,,,,0.6881847794,27100,4696,,7754,6090,0.4263,0,2011-01-01
George C Wallace State Community College-Hanceville,Public,Southeast,,,,0.6321574642,27800,5302,,10771,7290,0.3716,0.3907,2011-01-01
George C Wallace State Community College-Selma,Public,Southeast,,,,0.6617142857,24400,1836,,14974,6990,0.369,0,2011-01-01
Herzing University-Birmingham,Private,Southeast,,0.979,,0.7845947156,42300,330,0.09090909090909,23839,11040,0.7727,0.7367,2011-01-01
Huntingdon College,Private,Southeast,,0.6199,995,0.5078947368,37100,1110,0.42162162162162,29369,21990,0.2244,0.6847,2011-01-01
Heritage Christian University,Private,Southeast,,,,,32700,59,0,14080,12030,0.6667,0.4833,2011-01-01
J. F. Drake State Community and Technical College,Public,Southeast,,,,0.5983167559,23500,1087,,7718,5712,0.5626,0,2011-01-01
Jacksonville State University,Public,Southeast,,0.8365,998,0.6018000486,35100,7810,0.10714285714285,17718,12240,0.2389,0.6663,2011-01-01
Jefferson Davis Community College,Public,Southeast,,,,0.6442199776,27200,1190,,9487,6998,0.4628,0,2011-01-01
Jefferson State Community College,Public,Southeast,,,,0.6500571802,30300,8444,,12999,7350,0.3983,0.2013,2011-01-01
