group,value
group1,0
group1,2
group1,1
group1,3
group1,2
group1,1
group1,2
group1,2
group1,3
group1,2
group1,0
group1,1
group1,1
group1,3
group1,1
group1,3
group1,0
group1,3
group1,1
group1,1
group1,3
group1,3
group1,1
group1,3
group1,2
group1,1
group1,2
group1,1
group1,0
group1,1
group1,3
group1,1
group1,2
group1,2
group1,2
group1,3
group1,0
group1,3
group1,2
group1,1
group1,3
group1,0
group1,2
group1,2
group1,1
group1,3
group1,3
group1,3
group1,0
group1,3
group1,2
group1,0
group1,2
group1,2
group1,0
group1,3
group1,3
group1,2
group1,3
group1,1
group1,3
group1,0
group1,0
group1,2
group1,1
group1,1
group1,2
group1,0
group1,3
group1,3
group1,2
group1,0
group1,0
group1,2
group1,2
group1,1
group1,3
group1,2
group1,0
group1,2
group1,3
group1,0
group1,2
group1,1
group1,2
group1,2
group1,1
group1,0
group1,1
group1,3
group1,1
group1,2
group1,0
group1,2
group1,1
group1,2
group1,1
group1,3
group1,0
group1,2
group2,8
group2,7
group2,7
group2,8
group2,6
group2,8
group2,7
group2,8
group2,5
group2,6
group2,5
group2,5
group2,5
group2,8
group2,6
group2,8
group2,6
group2,5
group2,7
group2,7
group2,5
group2,5
group2,7
group2,6
group2,8
group2,5
group2,6
group2,6
group2,8
group2,5
group2,5
group2,7
group2,8
group2,6
group2,5
group2,6
group2,8
group2,5
group2,6
group2,6
group2,7
group2,6
group2,6
group2,6
group2,8
group2,8
group2,8
group2,7
group2,5
group2,6
group2,8
group2,7
group2,5
group2,6
group2,7
group2,6
group2,8
group2,5
group2,5
group2,5
group2,8
group2,6
group2,8
group2,6
group2,5
group2,5
group2,8
group2,5
group2,7
group2,5
group2,5
group2,8
group2,8
group2,5
group2,5
group2,8
group2,8
group2,6
group2,8
group2,6
group2,7
group2,5
group2,8
group2,8
group2,5
group2,6
group2,6
group2,7
group2,5
group2,6
group2,8
group2,5
group2,7
group2,8
group2,5
group2,7
group2,5
group2,8
group2,5
group2,6
