group,value
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group1,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
group2,4
