County,Year,State,Region,Economic Type,Urban or Rural,% Children in Poverty,% Excessive Drinking,High School Graduation Rate,Hospital Overuse,% Low Birth Weight,Median Family Income,Mentally Unhealthy Days,% Receiving Diabetes Monitoring,Teen Birth Rate,% Unemployed
Autauga,2013-01-01,Alabama,South,Nonspecialized,Urban,21,17,80,71,9.4,66349,4.3,85,43,8
Baldwin,2013-01-01,Alabama,South,Recreation,Urban,21,19,74,56,8.8,60864,3.8,81,48,8.1
Barbour,2013-01-01,Alabama,South,Maufacturing,Rural,40,13,61,109,12.3,43462,4.1,86,74,11.4
Bibb,2013-01-01,Alabama,South,Nonspecialized,Urban,31,13,73,87,11.9,43004,5.3,85,48,9.9
Blount,2013-01-01,Alabama,South,Nonspecialized,Urban,22,5,81,95,7.6,52996,4,84,49,8.3
Bullock,2013-01-01,Alabama,South,Maufacturing,Rural,41,,71,117,14.1,44933,,76,86,15.3
Butler,2013-01-01,Alabama,South,Nonspecialized,Rural,36,10,72,143,10.4,38500,3.2,83,62,11.6
Calhoun,2013-01-01,Alabama,South,Federal/State Government,Urban,32,13,79,99,9.2,50851,5,80,51,9.2
Chambers,2013-01-01,Alabama,South,Nonspecialized,Rural,39,8,79,89,11.4,41040,4,86,64,11.4
Cherokee,2013-01-01,Alabama,South,Nonspecialized,Rural,37,14,72,116,9.3,45998,4.3,89,52,8.7
Chilton,2013-01-01,Alabama,South,Nonspecialized,Urban,28,11,73,68,9.8,52092,4.8,84,57,8.6
Choctaw,2013-01-01,Alabama,South,Maufacturing,Rural,36,8,78,64,10.8,45876,4.6,84,48,11.4
Clarke,2013-01-01,Alabama,South,Maufacturing,Rural,35,13,77,108,12.2,45518,2.4,79,42,15.2
Clay,2013-01-01,Alabama,South,Maufacturing,Rural,29,6,80,144,10.9,43598,4.6,81,51,11.8
Cleburne,2013-01-01,Alabama,South,Nonspecialized,Rural,26,9,92,92,7.9,46069,4.5,79,58,8.3
Coffee,2013-01-01,Alabama,South,Nonspecialized,Rural,24,12,84,95,9.2,58898,3.8,84,49,7.1
Colbert,2013-01-01,Alabama,South,Nonspecialized,Urban,28,10,75,70,11,50924,4.5,90,55,9
Conecuh,2013-01-01,Alabama,South,Nonspecialized,Rural,40,6,79,179,11.6,31966,4.1,75,53,14.8
Coosa,2013-01-01,Alabama,South,Maufacturing,Rural,36,13,47,100,11.7,46777,3.9,85,48,10.6
Covington,2013-01-01,Alabama,South,Nonspecialized,Rural,34,12,76,153,9.6,43822,4.5,86,70,8.9
Crenshaw,2013-01-01,Alabama,South,Maufacturing,Rural,28,13,87,88,9.7,48903,3.4,77,55,8.7
Cullman,2013-01-01,Alabama,South,Nonspecialized,Rural,28,10,77,65,9.3,47103,4.5,88,57,8.1
Dale,2013-01-01,Alabama,South,Maufacturing,Rural,28,15,76,79,8.4,56132,4,84,53,8.3
Dallas,2013-01-01,Alabama,South,Maufacturing,Rural,50,11,71,85,12.6,38063,3.7,70,77,16.2
DeKalb,2013-01-01,Alabama,South,Maufacturing,Rural,30,10,86,95,8.9,45213,5.2,88,64,11.2
Elmore,2013-01-01,Alabama,South,Nonspecialized,Urban,21,10,74,84,9,65479,3.7,84,44,8.3
Escambia,2013-01-01,Alabama,South,Nonspecialized,Rural,32,7,76,130,10.8,36550,4.8,75,71,10.5
Etowah,2013-01-01,Alabama,South,Nonspecialized,Urban,30,11,75,92,9.1,47259,4.5,85,56,9.1
Fayette,2013-01-01,Alabama,South,Nonspecialized,Rural,33,4,83,79,9.6,44034,5.5,83,50,10.4
Franklin,2013-01-01,Alabama,South,Maufacturing,Rural,33,4,85,113,9,46536,3.9,89,69,9.4
Geneva,2013-01-01,Alabama,South,Nonspecialized,Urban,42,12,76,108,8.8,43481,3.3,87,53,8.3
Greene,2013-01-01,Alabama,South,Nonspecialized,Rural,47,,66,133,15.3,31809,5,79,56,14.2
