source,target,sourceID,targetID,startDate,ego
1,0,629050,38259P,11/27/00,Google Inc
1,2,629050,83510F,11/27/00,Google Inc
3,1,865613,629050,12/01/00,Google Inc
4,1,59487E,629050,12/01/00,Google Inc
1,5,629050,46662V,12/01/00,Google Inc
1,6,629050,233806,12/01/00,Google Inc
7,1,23408R,629050,12/05/00,Google Inc
8,1,891493,629050,12/05/00,Google Inc
1,9,629050,359590,12/05/00,Google Inc
1,10,629050,433578,12/05/00,Google Inc
1,11,629050,606776,12/05/00,Google Inc
1,12,629050,606769,12/05/00,Google Inc
13,1,796054,629050,12/06/00,Google Inc
1,14,629050,879063,12/20/00,Google Inc
1,15,629050,890880,12/20/00,Google Inc
16,1,12416L,629050,01/11/01,Google Inc
17,1,00313K,629050,01/11/01,Google Inc
9,1,359590,629050,01/11/01,Google Inc
1,18,629050,65390Y,01/11/01,Google Inc
10,1,433578,629050,01/18/01,Google Inc
1,19,629050,88408K,01/18/01,Google Inc
10,1,433578,629050,02/02/01,Google Inc
20,1,576879,629050,02/02/01,Google Inc
11,1,606776,629050,02/02/01,Google Inc
1,21,629050,819882,02/02/01,Google Inc
1,8,629050,891493,02/02/01,Google Inc
22,1,60888J,629050,02/19/01,Google Inc
23,1,826197,629050,02/19/01,Google Inc
1,24,629050,62942Q,02/26/01,Google Inc
25,1,225223,629050,03/01/01,Google Inc
26,1,67455V,629050,03/08/01,Google Inc
1,27,629050,37966Z,03/08/01,Google Inc
1,28,629050,885118,03/14/01,Google Inc
1,8,629050,891493,04/02/01,Google Inc
29,1,450306,629050,04/20/01,Google Inc
0,30,38259P,65413N,04/20/01,Google Inc
31,1,16705T,629050,04/30/01,Google Inc
32,1,00175J,629050,05/15/01,Google Inc
33,1,73089M,629050,05/15/01,Google Inc
34,1,29388W,629050,05/24/01,Google Inc
1,35,629050,78540M,06/29/01,Google Inc
1,36,629050,J89322,06/29/01,Google Inc
1,13,629050,796054,07/09/01,Google Inc
1,20,629050,576879,08/21/01,Google Inc
1,37,629050,57688F,08/21/01,Google Inc
1,38,629050,803038,08/22/01,Google Inc
20,1,576879,629050,08/22/01,Google Inc
39,1,35958C,629050,08/23/01,Google Inc
40,1,92806C,629050,09/10/01,Google Inc
41,1,47110H,629050,09/19/01,Google Inc
1,42,629050,63020H,09/26/01,Google Inc
1,35,629050,78540M,09/26/01,Google Inc
1,43,629050,594918,10/16/01,Google Inc
1,43,629050,594918,10/17/01,Google Inc
44,1,83178N,629050,10/19/01,Google Inc
1,45,629050,69520N,11/14/01,Google Inc
46,1,65391B,629050,11/26/01,Google Inc
1,37,629050,57688F,11/27/01,Google Inc
1,47,629050,44334L,11/27/01,Google Inc
1,10,629050,433578,11/28/01,Google Inc
1,48,629050,57687N,11/28/01,Google Inc
1,49,629050,67420F,11/28/01,Google Inc
50,1,15101Q,629050,01/10/02,Google Inc
51,1,654624,629050,01/16/02,Google Inc
52,1,35961Q,629050,01/16/02,Google Inc
53,1,88910A,629050,01/16/02,Google Inc
54,1,04340A,629050,01/16/02,Google Inc
55,1,62869P,629050,01/16/02,Google Inc
56,1,63020F,629050,01/16/02,Google Inc
16,1,12416L,629050,01/16/02,Google Inc
24,1,62942Q,629050,01/16/02,Google Inc
57,1,83096K,629050,01/16/02,Google Inc
1,58,629050,835699,01/16/02,Google Inc
59,1,46114T,629050,03/04/02,Google Inc
9,1,359590,629050,03/14/02,Google Inc
1,8,629050,891493,03/14/02,Google Inc
1,8,629050,891493,03/19/02,Google Inc
1,9,629050,359590,03/19/02,Google Inc
1,10,629050,433578,03/19/02,Google Inc
1,11,629050,606776,03/19/02,Google Inc
1,60,629050,86978N,04/17/02,Google Inc
1,61,629050,82009J,04/18/02,Google Inc
20,1,576879,629050,05/03/02,Google Inc
62,1,50313E,629050,05/03/02,Google Inc
41,1,47110H,629050,05/03/02,Google Inc
63,1,359556,629050,05/14/02,Google Inc
1,36,629050,J89322,05/15/02,Google Inc
64,1,438128,629050,05/21/02,Google Inc
1,10,629050,433578,06/25/02,Google Inc
1,10,629050,433578,07/11/02,Google Inc
1,11,629050,606776,07/11/02,Google Inc
1,8,629050,891493,07/11/02,Google Inc
1,9,629050,359590,07/11/02,Google Inc
1,65,629050,57675L,07/11/02,Google Inc
1,58,629050,835699,07/11/02,Google Inc
1,21,629050,819882,07/11/02,Google Inc
1,38,629050,803038,07/11/02,Google Inc
1,66,629050,J65328,07/11/02,Google Inc
1,67,629050,678492,07/11/02,Google Inc
30,68,65413N,83567N,09/04/02,Google Inc
30,69,65413N,23127R,09/04/02,Google Inc
10,1,433578,629050,09/26/02,Google Inc
70,1,458140,629050,09/26/02,Google Inc
11,1,606776,629050,09/26/02,Google Inc
1,71,629050,64390Q,09/26/02,Google Inc
8,1,891493,629050,09/30/02,Google Inc
1,72,629050,68273P,10/16/02,Google Inc
