name,id,source,target,size,date
vipshop.com;vip.com,5,,10,1,2015-01
vipshop.com;vip.com,3,,9,11,2015-01
vipshop.com;vip.com,2,,8,3,2015-01
vipshop.com;vip.com,1,,7,2,2015-01
vipshop.com;vip.com,7,1,13,2,2015-02
vipshop.com;vip.com,11,,14,1,2015-02
vipshop.com;vip.com,10,5,18,2,2015-02
vipshop.com;vip.com,9,3,16,8,2015-02
vipshop.com;vip.com,8,2,15,10,2015-02
vipshop.com;vip.com,6,,12,1,2015-02
vipshop.com;vip.com,12,6,19,1,2015-03
vipshop.com;vip.com,18,10,21,1,2015-03
vipshop.com;vip.com,17,,19,1,2015-03
vipshop.com;vip.com,14,11,24,2,2015-03
vipshop.com;vip.com,13,7,,2,2015-03
vipshop.com;vip.com,15,8,22,6,2015-03
vipshop.com;vip.com,16,9,22|19,11,2015-03
vipshop.com;vip.com,22,15|16,28,11,2015-04
vipshop.com;vip.com,19,12|16|17,32,12,2015-04
vipshop.com;vip.com,23,,25,1,2015-04
vipshop.com;vip.com,24,14,27,2,2015-04
vipshop.com;vip.com,21,18,31,2,2015-04
vipshop.com;vip.com,28,22,33,11,2015-05
vipshop.com;vip.com,25,23,33,2,2015-05
vipshop.com;vip.com,29,,34,1,2015-05
vipshop.com;vip.com,32,19,33,9,2015-05
vipshop.com;vip.com,27,24,36,1,2015-05
vipshop.com;vip.com,26,,34,3,2015-05
vipshop.com;vip.com,31,21,35,1,2015-05
vipshop.com;vip.com,38,,40,3,2015-06
vipshop.com;vip.com,34,26|29,40|42,4,2015-06
vipshop.com;vip.com,36,27,44,1,2015-06
vipshop.com;vip.com,33,25|28|32,40,12,2015-06
vipshop.com;vip.com,35,31,39,5,2015-06
vipshop.com;vip.com,37,,,1,2015-06
vipshop.com;vip.com,41,,46,1,2015-07
vipshop.com;vip.com,40,33|34|38,45|48,15,2015-07
vipshop.com;vip.com,44,36,50,1,2015-07
vipshop.com;vip.com,39,35,47,6,2015-07
vipshop.com;vip.com,42,34,46,2,2015-07
vipshop.com;vip.com,50,44,57,2,2015-08
vipshop.com;vip.com,45,40,51,11,2015-08
vipshop.com;vip.com,48,40,53,5,2015-08
vipshop.com;vip.com,47,39,54,4,2015-08
vipshop.com;vip.com,46,41|42,,3,2015-08
vipshop.com;vip.com,54,47,62,6,2015-09
vipshop.com;vip.com,51,45,58,10,2015-09
vipshop.com;vip.com,55,,63,1,2015-09
vipshop.com;vip.com,53,48,59,6,2015-09
vipshop.com;vip.com,56,,64,1,2015-09
vipshop.com;vip.com,57,50,62,1,2015-09
vipshop.com;vip.com,64,56,71,2,2015-10
vipshop.com;vip.com,63,55,70,1,2015-10
vipshop.com;vip.com,59,53,66,3,2015-10
vipshop.com;vip.com,62,54|57,69,3,2015-10
vipshop.com;vip.com,60,,,2,2015-10
vipshop.com;vip.com,58,51,68,14,2015-10
vipshop.com;vip.com,65,,,1,2015-11
vipshop.com;vip.com,66,59,72,2,2015-11
vipshop.com;vip.com,70,63,76,1,2015-11
vipshop.com;vip.com,69,62,74,1,2015-11
vipshop.com;vip.com,71,64,73,1,2015-11
vipshop.com;vip.com,68,58,72,19,2015-11
vipshop.com;vip.com,73,71,81,5,2015-12
vipshop.com;vip.com,72,66|68,82|80,8,2015-12
vipshop.com;vip.com,74,69,79,5,2015-12
vipshop.com;vip.com,77,,79,2,2015-12
vipshop.com;vip.com,76,70,83,4,2015-12
vipshop.com;vip.com,75,,82|80,1,2015-12
vipshop.com;vip.com,81,73,89,2,2016-01
vipshop.com;vip.com,83,76,,1,2016-01
vipshop.com;vip.com,80,72|75,88,19,2016-01
vipshop.com;vip.com,82,72|75,87,2,2016-01
vipshop.com;vip.com,79,74|77,85,2,2016-01
vipshop.com;vip.com,89,81,93,1,2016-02
vipshop.com;vip.com,85,79,91,6,2016-02
vipshop.com;vip.com,87,82,95,2,2016-02
vipshop.com;vip.com,88,80,92,12,2016-02
vipshop.com;vip.com,93,89,100,2,2016-03
vipshop.com;vip.com,92,88,102,10,2016-03
vipshop.com;vip.com,95,87,104,1,2016-03
vipshop.com;vip.com,97,,98,1,2016-03
vipshop.com;vip.com,96,,99,1,2016-03
