date,name,position,frequency
2014-08,Cyan.Banister,venture_capital,1
2014-08,Cyan.Banister,individual,1
2014-09,Cyan.Banister,angel_group,3
2014-09,Cyan.Banister,others,1
2014-09,Cyan.Banister,venture_capital,3
2014-09,Cyan.Banister,individual,3
2014-10,Cyan.Banister,micro_vc,1
2014-10,Cyan.Banister,others,2
2014-10,Cyan.Banister,accelerator,1
2014-10,Cyan.Banister,venture_capital,8
2014-10,Cyan.Banister,individual,2
2014-11,Cyan.Banister,venture_capital,1
2014-11,Cyan.Banister,individual,1
2015-02,Cyan.Banister,others,1
2015-02,Cyan.Banister,venture_capital,2
2015-02,Cyan.Banister,individual,2
2015-04,Cyan.Banister,others,1
2015-04,Cyan.Banister,angel_group,1
2015-04,Cyan.Banister,accelerator,1
2015-04,Cyan.Banister,venture_capital,3
2015-04,Cyan.Banister,individual,2
2015-05,Cyan.Banister,venture_capital,2
2015-05,Cyan.Banister,others,1
2015-05,Cyan.Banister,angel_group,1
2015-05,Cyan.Banister,individual,1
2015-09,Cyan.Banister,individual,1
2015-09,Cyan.Banister,accelerator,1
2015-09,Cyan.Banister,venture_capital,1
2015-09,Cyan.Banister,micro_vc,2
2015-10,Cyan.Banister,accelerator,1
2015-10,Cyan.Banister,individual,2
2015-10,Cyan.Banister,angel_group,1
2015-10,Cyan.Banister,venture_capital,2
2015-10,Cyan.Banister,micro_vc,1
2015-11,Cyan.Banister,individual,1
2016-02,Cyan.Banister,individual,1
2016-03,Cyan.Banister,individual,2
2016-03,Cyan.Banister,venture_capital,1
2016-03,Cyan.Banister,micro_vc,1
2016-04,Cyan.Banister,venture_capital,1
2014-10,MPM.Capital,venture_capital,1
2015-02,MPM.Capital,venture_capital,3
2015-03,MPM.Capital,venture_capital,2
2015-04,MPM.Capital,corporate_venture_capital,1
2015-04,MPM.Capital,others,1
2015-04,MPM.Capital,venture_capital,1
2015-07,MPM.Capital,venture_capital,2
2015-08,MPM.Capital,investment_bank,1
2015-08,MPM.Capital,corporate_venture_capital,1
2015-08,MPM.Capital,others,2
2015-08,MPM.Capital,venture_capital,2
2015-12,MPM.Capital,corporate_venture_capital,1
2015-12,MPM.Capital,others,1
2015-12,MPM.Capital,venture_capital,2
2016-01,MPM.Capital,others,1
2016-01,MPM.Capital,venture_capital,2
2016-03,MPM.Capital,venture_capital,2
2016-06,MPM.Capital,corporate_venture_capital,1
2016-06,MPM.Capital,venture_capital,2
2016-07,MPM.Capital,venture_capital,1
2014-08,Amasia,accelerator,1
2014-08,Amasia,venture_capital,1
2014-08,Amasia,micro_vc,1
2014-12,Amasia,others,1
2014-12,Amasia,venture_capital,3
2014-12,Amasia,accelerator,1
2015-01,Amasia,micro_vc,1
2015-01,Amasia,angel_group,1
2015-01,Amasia,others,1
2015-01,Amasia,venture_capital,4
2015-01,Amasia,accelerator,1
2015-02,Amasia,venture_capital,3
2015-02,Amasia,micro_vc,1
2015-03,Amasia,accelerator,1
2015-04,Amasia,accelerator,1
2015-04,Amasia,venture_capital,1
2015-05,Amasia,accelerator,1
2015-05,Amasia,venture_capital,1
2015-05,Amasia,micro_vc,1
2015-07,Amasia,accelerator,1
2015-07,Amasia,angel_group,1
2015-07,Amasia,others,1
2015-08,Amasia,accelerator,1
2015-09,Amasia,corporate_venture_capital,1
2015-09,Amasia,angel_group,1
2015-09,Amasia,venture_capital,3
2015-12,Amasia,others,1
2015-12,Amasia,venture_capital,2
2015-12,Amasia,micro_vc,2
2016-02,Amasia,micro_vc,1
2016-02,Amasia,others,2
2016-02,Amasia,venture_capital,3
2016-02,Amasia,individual,1
2016-03,Amasia,venture_capital,4
2016-04,Amasia,accelerator,1
2016-04,Amasia,venture_capital,1
2016-05,Amasia,others,1
2016-05,Amasia,venture_capital,5
2015-02,Sound.Ventures,venture_capital,3
2015-02,Sound.Ventures,micro_vc,1
2015-03,Sound.Ventures,others,1
2015-03,Sound.Ventures,venture_capital,2
2015-03,Sound.Ventures,micro_vc,1
2015-04,Sound.Ventures,venture_capital,2
2015-04,Sound.Ventures,micro_vc,1
2015-05,Sound.Ventures,investment_bank,1
2015-05,Sound.Ventures,corporate_venture_capital,1
2015-05,Sound.Ventures,others,1
2015-05,Sound.Ventures,accelerator,1
2015-05,Sound.Ventures,venture_capital,7
2015-05,Sound.Ventures,individual,3
2015-06,Sound.Ventures,venture_capital,2
2015-07,Sound.Ventures,others,1
2015-07,Sound.Ventures,individual,1
2015-07,Sound.Ventures,accelerator,1
2015-07,Sound.Ventures,venture_capital,4
2015-07,Sound.Ventures,micro_vc,4
2015-09,Sound.Ventures,angel_group,1
2015-09,Sound.Ventures,accelerator,1
2015-09,Sound.Ventures,venture_capital,10
2015-10,Sound.Ventures,micro_vc,1
2015-10,Sound.Ventures,corporate_venture_capital,1
2015-10,Sound.Ventures,accelerator,1
2015-10,Sound.Ventures,venture_capital,9
2015-10,Sound.Ventures,others,1
2016-01,Sound.Ventures,others,1
2016-01,Sound.Ventures,venture_capital,3
2016-04,Sound.Ventures,investment_bank,1
2016-04,Sound.Ventures,venture_capital,3
2016-04,Sound.Ventures,angel_group,1
2016-07,Sound.Ventures,venture_capital,1
2014-08,Iconiq.Capital,investment_bank,1
2014-08,Iconiq.Capital,venture_capital,4
2014-08,Iconiq.Capital,micro_vc,1
2014-10,Iconiq.Capital,investment_bank,1
2014-10,Iconiq.Capital,angel_group,1
2014-11,Iconiq.Capital,venture_capital,3
2014-11,Iconiq.Capital,micro_vc,1
2014-12,Iconiq.Capital,investment_bank,1
2014-12,Iconiq.Capital,others,1
2014-12,Iconiq.Capital,venture_capital,3
2015-01,Iconiq.Capital,venture_capital,2
2015-02,Iconiq.Capital,corporate_venture_capital,1
2015-02,Iconiq.Capital,venture_capital,1
2015-03,Iconiq.Capital,corporate_venture_capital,1
2015-03,Iconiq.Capital,venture_capital,1
2015-04,Iconiq.Capital,venture_capital,1
2015-05,Iconiq.Capital,investment_bank,1
2015-05,Iconiq.Capital,corporate_venture_capital,1
2015-06,Iconiq.Capital,venture_capital,4
2015-07,Iconiq.Capital,others,1
2015-07,Iconiq.Capital,venture_capital,3
2015-08,Iconiq.Capital,others,1
2015-08,Iconiq.Capital,venture_capital,5
2015-09,Iconiq.Capital,corporate_venture_capital,1
2015-09,Iconiq.Capital,venture_capital,3
2015-10,Iconiq.Capital,venture_capital,2
2016-01,Iconiq.Capital,venture_capital,2
2016-04,Iconiq.Capital,venture_capital,2
2016-06,Iconiq.Capital,venture_capital,4
2015-02,Fidelity.Management.and.Research.Company,venture_capital,1
2015-03,Fidelity.Management.and.Research.Company,others,1
2015-03,Fidelity.Management.and.Research.Company,venture_capital,1
2015-04,Fidelity.Management.and.Research.Company,investment_bank,1
2015-06,Fidelity.Management.and.Research.Company,investment_bank,1
2015-06,Fidelity.Management.and.Research.Company,others,3
2015-06,Fidelity.Management.and.Research.Company,venture_capital,2
2015-06,Fidelity.Management.and.Research.Company,micro_vc,1
2015-07,Fidelity.Management.and.Research.Company,others,2
2015-07,Fidelity.Management.and.Research.Company,venture_capital,2
2015-08,Fidelity.Management.and.Research.Company,investment_bank,1
2015-08,Fidelity.Management.and.Research.Company,others,3
2015-08,Fidelity.Management.and.Research.Company,venture_capital,9
2015-09,Fidelity.Management.and.Research.Company,others,2
2015-09,Fidelity.Management.and.Research.Company,venture_capital,1
2015-10,Fidelity.Management.and.Research.Company,investment_bank,1
2015-10,Fidelity.Management.and.Research.Company,venture_capital,4
2015-11,Fidelity.Management.and.Research.Company,venture_capital,2
2015-12,Fidelity.Management.and.Research.Company,investment_bank,1
2015-12,Fidelity.Management.and.Research.Company,others,1
2016-01,Fidelity.Management.and.Research.Company,others,4
2016-01,Fidelity.Management.and.Research.Company,venture_capital,4
2016-03,Fidelity.Management.and.Research.Company,others,2
2016-03,Fidelity.Management.and.Research.Company,venture_capital,1
2014-08,Social.Starts,venture_capital,1
2014-08,Social.Starts,angel_group,1
2014-08,Social.Starts,micro_vc,1
2014-10,Social.Starts,venture_capital,1
2014-11,Social.Starts,venture_capital,1
2014-11,Social.Starts,individual,1
2014-12,Social.Starts,angel_group,1
2014-12,Social.Starts,venture_capital,2
2014-12,Social.Starts,accelerator,1
2015-01,Social.Starts,micro_vc,1
2015-01,Social.Starts,accelerator,1
2015-01,Social.Starts,venture_capital,10
2015-01,Social.Starts,individual,1
2015-02,Social.Starts,venture_capital,2
2015-03,Social.Starts,venture_capital,1
2015-03,Social.Starts,angel_group,1
2015-04,Social.Starts,micro_vc,1
2015-04,Social.Starts,others,1
2015-04,Social.Starts,accelerator,1
2015-04,Social.Starts,venture_capital,8
